id,title,release_date,genre_ids,vote_average,vote_count,budget,revenue,directors,production_companies
568124,Encanto,2021-10-13,"[16, 35, 10751, 14]",7.595,9651,135000000,261289554,"Byron Howard, Jared Bush","Walt Disney Animation Studios, Walt Disney Pictures"
451048,Jungle Cruise,2021-07-28,"[14, 12]",7.3,5787,200000000,220889446,Jaume Collet-Serra,"Walt Disney Pictures, Seven Bucks Productions, Davis Entertainment, Flynn Picture Company"
508943,Luca,2021-06-17,"[16, 35, 14, 12, 10751]",7.807,8475,200000000,51074773,Enrico Casarosa,"Pixar, Walt Disney Pictures"
818370,The Little Prince(ss),2021-05-28,"[10751, 18]",7.1,137,0,0,Moxie Peng,Walt Disney Pictures
818367,Let's Be Tigers,2021-05-28,[18],7.3,14,0,0,Stefanie Abel Horowitz,Walt Disney Pictures
818361,The Last of the Chupacabras,2021-05-28,"[10751, 14]",6.2,21,0,0,Jessica Mendez Siqueiros,Walt Disney Pictures
818356,Growing Fangs,2021-05-28,"[18, 10749, 10751, 14]",6.6,17,0,0,Ann Marie Pace,Walt Disney Pictures
818342,Dinner Is Served,2021-05-28,[18],5.8,13,0,0,Hao Zheng,Walt Disney Pictures
818336,American Eid,2021-05-28,[18],7.1,14,0,0,Aqsa Altaf,Walt Disney Pictures
337404,Cruella,2021-05-26,"[35, 80, 12]",7.996,9509,200000000,233503234,Craig Gillespie,"Walt Disney Pictures, Gunn Films, Marc Platt Productions"
811367,22 vs. Earth,2021-04-30,"[10751, 35, 14, 16]",7.0,459,0,0,Kevin Nolting,"Pixar, Walt Disney Pictures"
779047,Us Again,2021-03-03,"[16, 18, 10751, 10749]",7.807,331,0,0,Zach Parrish,"Walt Disney Pictures, Walt Disney Animation Studios"
527774,Raya and the Last Dragon,2021-03-03,"[16, 10751, 14, 28, 12]",7.8,6884,100000000,130423032,"Carlos López Estrada, Don Hall","Walt Disney Pictures, Walt Disney Animation Studios"
621876,Flora & Ulysses,2021-02-19,"[10751, 12, 35, 14]",6.5,249,0,0,Lena Khan,"Walt Disney Pictures, Netter Productions"
508442,Soul,2020-12-25,"[16, 10751, 35, 14]",8.112,10680,150000000,121977511,Pete Docter,"Walt Disney Pictures, Pixar"
727306,Safety,2020-12-11,"[10751, 18, 36]",7.5,191,0,0,Reginald Hudlin,"Walt Disney Pictures, Select Films"
662546,Godmothered,2020-12-04,"[10751, 14, 35]",6.737,613,0,0,Sharon Maguire,"Walt Disney Pictures, The Montecito Picture Company, Studio AKA"
757998,On the Lot with Becky Cline - Disney Studio Tour,2020-10-23,[99],0.0,0,0,0,Jay Hatcher,Walt Disney Pictures
337401,Mulan,2020-09-04,"[12, 14, 28, 10751]",6.866,6750,200000000,69965374,Niki Caro,"Walt Disney Pictures, Good Fear, Jason T. Reed Productions"
508570,The One and Only Ivan,2020-08-21,"[10751, 35, 18]",7.369,591,0,0,Thea Sharrock,"Allison Shearmur Productions, Digital Makeup Group, Jolie Pas Productions, Walt Disney Pictures"
454433,Magic Camp,2020-08-14,"[10751, 14, 35]",6.876,205,24000000,0,Mark Waters,"Team Todd, Gunn Films, Walt Disney Pictures"
719643,Black Is King,2020-07-30,[10402],7.3,128,0,0,"Beyoncé, Blitz Bazawule, Emmanuel Adjei, Dikayl Rimmasch, Ibra Ake, Jake Nava, Jenn Nkiru, Pierre Debusschere","Parkwood Entertainment, Walt Disney Pictures"
475430,Artemis Fowl,2020-05-29,"[12, 14, 878, 10751, 28]",5.6,1668,125000000,0,Kenneth Branagh,"Tribeca Productions, Walt Disney Pictures, TKBC"
706860,Out,2020-05-22,"[16, 35, 18, 14, 10751, 10749]",7.3,195,0,0,Steven Clay Hunter,"Pixar, Walt Disney Pictures"
382748,Stargirl,2020-03-10,"[35, 18, 10749, 10751]",7.4,559,0,0,Julia Hart,"BCDF Pictures, The Gotham Group, Hahnscape Entertainment, Walt Disney Pictures"
508439,Onward,2020-02-29,"[10751, 16, 12, 35, 14]",7.671,6230,200000000,141940042,Dan Scanlon,"Walt Disney Pictures, Pixar"
594530,Lamp Life,2020-01-31,"[16, 35, 10751]",7.1,305,0,0,Valerie LaPointe,"Walt Disney Pictures, Pixar"
550440,Timmy Failure: Mistakes Were Made,2020-01-25,"[10751, 9648, 35, 14]",6.2,182,45000000,0,Tom McCarthy,"Walt Disney Pictures, Whitaker Entertainment, Slow Pony"
606856,Togo,2019-12-20,"[12, 10751]",8.143,2069,0,0,Ericson Core,Walt Disney Pictures
330457,Frozen II,2019-11-20,"[10751, 16, 12, 35, 14]",7.2,9851,150000000,1453683476,"Jennifer Lee, Chris Buck","Walt Disney Pictures, Walt Disney Animation Studios"
512895,Lady and the Tramp,2019-11-12,"[10751, 10749, 35]",7.199,1574,0,0,Charlie Bean,"Walt Disney Pictures, Taylor Made Entertainment"
454467,Noelle,2019-11-12,"[10751, 35, 14]",6.596,680,0,0,Marc Lawrence,Walt Disney Pictures
420809,Maleficent: Mistress of Evil,2019-10-16,"[10751, 14, 12, 28]",7.303,6180,185000000,491730089,Joachim Rønning,"Walt Disney Pictures, Roth Films"
420818,The Lion King,2019-07-12,"[12, 18, 10751, 16]",7.11,10277,260000000,1662020819,Jon Favreau,"Walt Disney Pictures, Fairview Entertainment"
301528,Toy Story 4,2019-06-19,"[10751, 12, 16, 35, 14]",7.478,9933,175000000,1073841394,Josh Cooley,"Walt Disney Pictures, Pixar"
420817,Aladdin,2019-05-22,"[12, 14, 10749, 10751]",7.096,10172,183000000,1054300000,Guy Ritchie,"Walt Disney Pictures, Rideback"
